"Marca temporal","1. ¿Cuál de estos sabores de té latte helado le gustaría probar?","2. ¿Con qué frecuencia consume bebidas frías como tés, cafés, smoothies, batidos, etc.?
","3. ¿Comprarías un té frío con leche como Iced Latte Tea si estuviese en tu supermercado?
","4. ¿Considera importante el aspecto de los ingredientes naturales al elegir Iced Latte? ","5. ¿Considera importante el aspecto de bajo contenido calórico al elegir Iced Latte? ","6. ¿Considera importante la marca a la hora de elegir un Iced Latte? ","7. ¿Considera importante el precio al elegir Iced Latte? ","8. ¿Considera importante el sabor al elegir Iced Latte? ","9. ¿Cómo de especial es esta idea de producto para ti?","10. ¿Cómo valora la importancia de que una bebida tenga su alternativa vegana?","11. ¿Qué precios te parecen demasiado caros para un ""Iced Latte Tea""?","12. ¿Qué precios te parecen demasiado baratos para que ""Iced Latte Tea"" sea de buena calidad?","13. ¿Dónde comprarías un Iced Latte Tea para consumir en la calle?","14. ¿Cuál de las siguientes opciones reflejaría mejor su consumo de ""Iced Latte Tea""?","15. ¿La opción vegana le resultaría atractiva para Iced Latte? ","16. ¿Cómo de importante le parece la  característica “listo para consumir” en un Iced Latte Tea?","17. ¿Cómo de importante es para ti encontrar alternativas al cafe?","18. ¿La opción de que sea saludable le resultaría atractiva para Iced Latte? ","19. ¿Cuál es su rango de edad?","20. ¿Cuál es su género?","21. ¿Cuál es su situación actual?","22. ¿Cuál es el entorno de su lugar de residencia actual?"
"2023/12/07 9:29:18 a. m. CET","Matcha","Diariamente","Probablemente sí","importante","Algo importante","Poco importante","Importante","Muy importante","4","3","Más de 1,5€","De 0,5 hasta 1€","Cafetería","Consumiría varias veces a la semana","Algo importante","Importante","Poco importante","Importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/07 9:43:13 a. m. CET","Matcha","3 o 4 veces a la semana","Probablemente sí","importante","Poco importante","Poco importante","Algo importante","Muy importante","4","1","Más de 1,5€","Hasta 0,5€","Supermercado","Consumiría solo ocasionalmente","Poco importante","Importante","Importante","Importante","18-24 años","Masculino","Estudiante","Ciudad"
"2023/12/07 9:44:12 a. m. CET","Otro","Diariamente","Absolutamente no","Muy importante","Nada importante","Nada importante","Algo importante","Muy importante","5","1","Más de 1,5€","De 0,5 hasta 1€","Máquina de vending","Consumiría solo ocasionalmente","Nada importante","Importante","Importante","Importante","45-54 años","Femenino","Trabajo por cuenta ajena","Ciudad"
"2023/12/07 9:57:09 a. m. CET","Matcha","1 o 2 veces a la semana","Probablemente sí","Poco importante","Nada importante","Poco importante","Algo importante","Muy importante","4","5","Más de 1,5€","De 0,5 hasta 1€","Cafetería","Consumiría solo ocasionalmente","Importante","Importante","Poco importante","Algo importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/07 10:00:29 a. m. CET","Chai","1 o 2 veces a la semana","Probablemente sí","Muy importante","importante","Importante","Muy importante","Importante","4","3","De 1 a 1,5€","De 0,5 hasta 1€","Supermercado","Consumiría solo ocasionalmente","Importante","Muy importante","Algo importante","Importante","45-54 años","Femenino","Trabajo por cuenta ajena","Ciudad"
"2023/12/07 10:02:42 a. m. CET","Chai","Raramente","Absolutamente no","Muy importante","Poco importante","Muy importante","Algo importante","Muy importante","1","3","De 1 a 1,5€","Hasta 0,5€","Máquina de vending","Consumiría solo ocasionalmente","Poco importante","Muy importante","Algo importante","Muy importante","18-24 años","Masculino","Estudiante","Ciudad"
"2023/12/07 10:05:19 a. m. CET","Otro","Raramente","Indiferente","importante","Algo importante","Algo importante","Muy importante","Algo importante","3","2","Más de 1,5€","Ninguna de las anteriores","Supermercado","Consumiría solo ocasionalmente","Algo importante","Importante","Algo importante","Importante","45-54 años","Masculino","Trabajo por cuenta ajena","Ciudad"
"2023/12/07 10:05:57 a. m. CET","Matcha","1 o 2 veces a la semana","Probablemente sí","importante","Nada importante","Nada importante","Algo importante","Importante","4","4","Más de 1,5€","De 0,5 hasta 1€","Tienda de conveniencia","Consumiría solo ocasionalmente","Algo importante","Algo importante","Importante","Algo importante","18-24 años","Femenino","Estudiante","Rural/Pueblo"
"2023/12/07 10:07:26 a. m. CET","Chai","1 o 2 veces a la semana","Probablemente no","Muy importante","Algo importante","Importante","Algo importante","Muy importante","3","4","Más de 1,5€","De 1 a 1,5€","Cafetería","Consumiría solo ocasionalmente","Importante","Poco importante","Nada importante","Muy importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/07 10:08:02 a. m. CET","Matcha","Raramente","Probablemente no","Muy importante","importante","Importante","Muy importante","Muy importante","2","5","Más de 1,5€","De 0,5 hasta 1€","Supermercado","Consumiría solo ocasionalmente","Importante","Muy importante","Poco importante","Muy importante","18-24 años","Femenino","Estudiante","Rural/Pueblo"
"2023/12/07 10:15:32 a. m. CET","Chai","Raramente","Probablemente no","Algo importante","importante","Importante","Muy importante","Importante","3","2","De 1 a 1,5€","De 1 a 1,5€","Cafetería","Consumiría solo ocasionalmente","Importante","Algo importante","Algo importante","Importante","18-24 años","Femenino","Estudiante","Rural/Pueblo"
"2023/12/07 10:38:02 a. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/07 10:51:06 a. m. CET","Chai","3 o 4 veces a la semana","Probablemente no","Poco importante","importante","Nada importante","Muy importante","Muy importante","4","4","Más de 1,5€","Ninguna de las anteriores","Cafetería","Consumiría varias veces a la semana","Muy importante","Muy importante","Muy importante","Algo importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/07 11:33:10 a. m. CET","Chai","Raramente","Indiferente","Algo importante","importante","Poco importante","Importante","Importante","2","1","Más de 1,5€","De 0,5 hasta 1€","Máquina de vending","Consumiría solo ocasionalmente","Nada importante","Muy importante","Poco importante","Importante","18-24 años","Masculino","Estudiante","Rural/Pueblo"
"2023/12/07 11:45:16 a. m. CET","Chai","Raramente","Probablemente no","Muy importante","Muy importante","Poco importante","Importante","Muy importante","3","1","Más de 1,5€","Hasta 0,5€","Supermercado","Consumiría solo ocasionalmente","Nada importante","Importante","Nada importante","Muy importante","25-34 años","Femenino","Trabajo por cuenta ajena","Ciudad"
"2023/12/07 12:06:18 p. m. CET","Matcha","1 o 2 veces a la semana","Indiferente","Algo importante","importante","Poco importante","Importante","Muy importante","4","4","De 1 a 1,5€","Hasta 0,5€","Supermercado","Consumiría solo ocasionalmente","Algo importante","Importante","Algo importante","Importante","25-34 años","Masculino","Trabajo por cuenta ajena","Extrarradio"
"2023/12/07 12:44:03 p. m. CET","Chai","3 o 4 veces a la semana","Probablemente sí","Poco importante","Nada importante","Poco importante","Muy importante","Algo importante","2","4","Más de 1,5€","Hasta 0,5€","Cafetería","Consumiría solo ocasionalmente","Importante","Importante","Algo importante","Poco importante","18-24 años","Masculino","Estudiante","Ciudad"
"2023/12/07 12:53:06 p. m. CET","Matcha","3 o 4 veces a la semana","Absolutamente no","Muy importante","Nada importante","Importante","Muy importante","Muy importante","3","5","Más de 1,5€","De 1 a 1,5€","Tienda de conveniencia","Consumiría varias veces a la semana","Nada importante","Importante","Nada importante","Importante","45-54 años","Masculino","Trabajo por cuenta ajena","Ciudad"
"2023/12/07 1:01:55 p. m. CET","Chai","Diariamente","Probablemente sí","Algo importante","Poco importante","Importante","Importante","Muy importante","3","1","Más de 1,5€","Hasta 0,5€","Supermercado","Consumiría solo ocasionalmente","Nada importante","Muy importante","Algo importante","Importante","18-24 años","Masculino","Estudiante","Extrarradio"
"2023/12/07 1:19:20 p. m. CET","Chai","Diariamente","Probablemente sí","Muy importante","importante","Importante","Muy importante","Importante","3","5","Más de 1,5€","Ninguna de las anteriores","Supermercado","Consumiría solo ocasionalmente","Muy importante","Muy importante","Algo importante","Muy importante","18-24 años","Femenino","Estudiante","Rural/Pueblo"
"2023/12/07 1:55:27 p. m. CET","Chai","Raramente","Indiferente","importante","Poco importante","Importante","Importante","Importante","4","1","Más de 1,5€","De 1 a 1,5€","Tienda de conveniencia","Consumiría solo ocasionalmente","Nada importante","Importante","Nada importante","Algo importante","45-54 años","Masculino","Autónomo","Ciudad"
"2023/12/07 2:03:40 p. m. CET","Matcha","1 o 2 veces a la semana","Probablemente sí","Muy importante","Muy importante","Muy importante","Algo importante","Muy importante","5","5","Más de 1,5€","De 0,5 hasta 1€","Supermercado","Consumiría varias veces a la semana","Muy importante","Muy importante","Importante","Muy importante","18-24 años","Femenino","Trabajo por cuenta ajena","Extrarradio"
"2023/12/07 2:37:11 p. m. CET","Chai","1 o 2 veces a la semana","Probablemente no","importante","importante","Poco importante","Importante","Muy importante","3","5","Más de 1,5€","Hasta 0,5€","Cafetería","Consumiría solo ocasionalmente","Muy importante","Poco importante","Importante","Muy importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/07 3:01:48 p. m. CET","Matcha","Raramente","Probablemente no","importante","Poco importante","Algo importante","Importante","Muy importante","3","5","Más de 1,5€","De 1 a 1,5€","Cafetería","Consumiría solo ocasionalmente","Muy importante","Muy importante","Poco importante","Poco importante","18-24 años","Masculino","Estudiante","Ciudad"
"2023/12/07 3:23:29 p. m. CET","Matcha","Raramente","Probablemente no","Muy importante","importante","Poco importante","Algo importante","Importante","1","3","Más de 1,5€","De 1 a 1,5€","Supermercado","Consumiría solo ocasionalmente","Importante","Importante","Importante","Muy importante","25-34 años","Masculino","Trabajo por cuenta ajena","Extrarradio"
"2023/12/07 4:22:27 p. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/07 4:40:36 p. m. CET","Chai","3 o 4 veces a la semana","Probablemente sí","Algo importante","Poco importante","Importante","Importante","Muy importante","2","2","Más de 1,5€","De 0,5 hasta 1€","Cafetería","Consumiría solo ocasionalmente","Poco importante","Algo importante","Poco importante","Importante","25-34 años","Femenino","Trabajo por cuenta ajena","Ciudad"
"2023/12/07 4:53:56 p. m. CET","Chai","Diariamente","Probablemente no","Poco importante","Algo importante","Poco importante","Importante","Muy importante","3","1","Más de 1,5€","Hasta 0,5€","Cafetería","Consumiría solo ocasionalmente","Nada importante","Algo importante","Algo importante","Importante","18-24 años","Masculino","Estudiante","Ciudad"
"2023/12/07 11:46:12 p. m. CET","Otro","Diariamente","Absolutamente sí","importante","Algo importante","Algo importante","Importante","Muy importante","4","4","Más de 1,5€","De 0,5 hasta 1€","Máquina de vending","Consumiría diariamente","Importante","Importante","Muy importante","Importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/08 1:39:00 p. m. CET","Chai","1 o 2 veces a la semana","Probablemente sí","Muy importante","Algo importante","Algo importante","Importante","Muy importante","3","5","Más de 1,5€","Hasta 0,5€","Supermercado","Consumiría varias veces a la semana","Importante","Importante","Muy importante","Muy importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/09 12:18:50 p. m. CET","Chai","1 o 2 veces a la semana","Probablemente sí","Algo importante","Algo importante","Importante","Muy importante","Muy importante","4","5","De 1 a 1,5€","De 0,5 hasta 1€","Supermercado","Consumiría solo ocasionalmente","Muy importante","Muy importante","Importante","Algo importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/09 12:19:29 p. m. CET","Chai","1 o 2 veces a la semana","Indiferente","importante","importante","Nada importante","Muy importante","Muy importante","2","4","De 0,8 hasta 1€","Hasta 0,5€","Supermercado","No estoy interesado/a en consumir ""Iced Latte Tea""","Algo importante","Muy importante","Poco importante","Importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/09 1:09:02 p. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/09 1:09:23 p. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/09 2:22:03 p. m. CET","Chai","Diariamente","Probablemente no","Muy importante","Muy importante","Algo importante","Importante","Importante","2","2","De 1 a 1,5€","Hasta 0,5€","Supermercado","No estoy interesado/a en consumir ""Iced Latte Tea""","Poco importante","Algo importante","Nada importante","Importante","18-24 años","Femenino","Autónomo","Ciudad"
"2023/12/09 2:41:38 p. m. CET","Chai","Raramente","Indiferente","Poco importante","Poco importante","Poco importante","Importante","Importante","3","2","Más de 1,5€","De 0,5 hasta 1€","Tienda de conveniencia","Consumiría solo ocasionalmente","Poco importante","Importante","Algo importante","Algo importante","25-34 años","Masculino","Trabajo por cuenta ajena","Ciudad"
"2023/12/09 2:57:32 p. m. CET","Otro","Raramente","Probablemente no","importante","Algo importante","Poco importante","Importante","Muy importante","4","3","De 1 a 1,5€","Hasta 0,5€","Máquina de vending","Consumiría solo ocasionalmente","Algo importante","Muy importante","Importante","Muy importante","18-24 años","Masculino","Estudiante","Ciudad"
"2023/12/09 2:59:01 p. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/09 4:44:10 p. m. CET","Chai","Raramente","Probablemente no","importante","importante","Poco importante","Algo importante","Importante","1","2","Más de 1,5€","Hasta 0,5€","Supermercado","Consumiría solo ocasionalmente","Nada importante","Algo importante","Poco importante","Importante","55 años o más","Masculino","Trabajo por cuenta ajena","Ciudad"
"2023/12/09 4:58:58 p. m. CET","Chai","Raramente","Probablemente no","Muy importante","Muy importante","Poco importante","Importante","Importante","3","3","Más de 1,5€","De 0,5 hasta 1€","Cafetería","Consumiría solo ocasionalmente","Algo importante","Nada importante","Nada importante","Importante","45-54 años","Femenino","Trabajo por cuenta ajena","Extrarradio"
"2023/12/09 5:12:42 p. m. CET","Matcha","Diariamente","Probablemente no","Muy importante","Algo importante","Nada importante","Algo importante","Muy importante","3","1","Más de 1,5€","De 0,5 hasta 1€","Cafetería","Consumiría solo ocasionalmente","Nada importante","Importante","Importante","Muy importante","45-54 años","Femenino","Trabajo por cuenta ajena","Ciudad"
"2023/12/09 5:28:22 p. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/09 5:33:39 p. m. CET","Matcha","Raramente","Absolutamente no","Muy importante","Muy importante","Algo importante","Muy importante","Muy importante","5","3","Hasta 0,8€","Hasta 0,5€","Tienda de conveniencia","Consumiría solo ocasionalmente","Poco importante","Algo importante","Muy importante","Algo importante","45-54 años","Femenino","Trabajo por cuenta ajena","Ciudad"
"2023/12/09 8:35:33 p. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/10 10:35:54 a. m. CET","Matcha","3 o 4 veces a la semana","Probablemente sí","importante","importante","Algo importante","Algo importante","Muy importante","4","5","Más de 1,5€","De 0,5 hasta 1€","Cafetería","Consumiría varias veces a la semana","Importante","Algo importante","Muy importante","Muy importante","45-54 años","Femenino","Trabajo por cuenta ajena","Ciudad"
"2023/12/10 5:14:38 p. m. CET","Matcha","Raramente","Probablemente no","importante","Muy importante","Algo importante","Importante","Muy importante","3","3","Más de 1,5€","Hasta 0,5€","Cafetería","Consumiría solo ocasionalmente","Algo importante","Poco importante","Algo importante","Muy importante","35-44 años","Femenino","Autónomo","Ciudad"
"2023/12/10 6:53:40 p. m. CET","Chai","Diariamente","Absolutamente sí","Algo importante","Nada importante","Importante","Algo importante","Importante","4","5","Más de 1,5€","De 0,5 hasta 1€","Supermercado","Consumiría varias veces a la semana","Muy importante","Muy importante","Muy importante","Nada importante","18-24 años","Masculino","Otro","Ciudad"
"2023/12/10 7:08:28 p. m. CET","Matcha","3 o 4 veces a la semana","Probablemente sí","importante","Algo importante","Algo importante","Muy importante","Muy importante","3","5","Más de 1,5€","De 0,5 hasta 1€","Tienda de conveniencia","Consumiría solo ocasionalmente","Muy importante","Muy importante","Algo importante","Algo importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/10 7:12:01 p. m. CET","Otro","Diariamente","Probablemente no","Muy importante","importante","Nada importante","Algo importante","Muy importante","2","1","De 0,8 hasta 1€","Hasta 0,5€","Otro","No estoy interesado/a en consumir ""Iced Latte Tea""","Nada importante","Muy importante","Nada importante","Muy importante","18-24 años","Masculino","Trabajo por cuenta ajena","Rural/Pueblo"
"2023/12/10 7:30:49 p. m. CET","Chai","3 o 4 veces a la semana","Probablemente sí","importante","Nada importante","Nada importante","Algo importante","Muy importante","4","5","De 1 a 1,5€","Hasta 0,5€","Supermercado","Consumiría varias veces a la semana","Muy importante","Muy importante","Nada importante","Importante","18-24 años","Femenino","Trabajo por cuenta ajena","Ciudad"
"2023/12/10 9:02:19 p. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/11 7:40:10 a. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/11 7:50:58 a. m. CET","Otro","Raramente","Probablemente sí","Poco importante","importante","Poco importante","Muy importante","Muy importante","2","3","Más de 1,5€","Hasta 0,5€","Cafetería","Consumiría solo ocasionalmente","Nada importante","Algo importante","Poco importante","Importante","18-24 años","Femenino","Trabajo por cuenta ajena","Ciudad"
"2023/12/11 11:48:27 a. m. CET","Chai","3 o 4 veces a la semana","Probablemente sí","Algo importante","importante","Poco importante","Importante","Muy importante","3","2","Más de 1,5€","De 0,5 hasta 1€","Supermercado","Consumiría solo ocasionalmente","Poco importante","Algo importante","Poco importante","Importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/11 12:07:59 p. m. CET","Otro","1 o 2 veces a la semana","Probablemente no","Algo importante","Algo importante","Algo importante","Algo importante","Muy importante","3","3","Más de 1,5€","De 0,5 hasta 1€","Supermercado","Consumiría solo ocasionalmente","Algo importante","Poco importante","Algo importante","Importante","25-34 años","Femenino","Trabajo por cuenta ajena","Extrarradio"
"2023/12/11 12:08:58 p. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/11 12:23:02 p. m. CET","Matcha","3 o 4 veces a la semana","Absolutamente sí","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","4","4","Más de 1,5€","Hasta 0,5€","Supermercado","Consumiría varias veces a la semana","Importante","Muy importante","Muy importante","Muy importante","18-24 años","Femenino","Estudiante","Rural/Pueblo"
"2023/12/11 12:26:24 p. m. CET","Chai","Diariamente","Indiferente","Muy importante","Muy importante","Poco importante","Importante","Muy importante","4","4","De 0,8 hasta 1€","Hasta 0,5€","Tienda de conveniencia","Consumiría varias veces a la semana","Importante","Algo importante","Importante","Importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/11 12:28:00 p. m. CET","Chai","Diariamente","Absolutamente sí","importante","Poco importante","Importante","Algo importante","Muy importante","5","3","Más de 1,5€","Hasta 0,5€","Cafetería","Consumiría diariamente","Importante","Muy importante","Importante","Importante","18-24 años","Femenino","Estudiante","Ciudad"
"2023/12/11 12:41:50 p. m. CET","Matcha","Raramente","Probablemente no","Algo importante","Nada importante","Algo importante","Poco importante","Muy importante","1","4","Más de 1,5€","De 0,5 hasta 1€","Supermercado","Consumiría solo ocasionalmente","Poco importante","Importante","Muy importante","Importante","18-24 años","Masculino","Trabajo por cuenta ajena","Extrarradio"
"2023/12/11 2:27:40 p. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/11 2:30:13 p. m. CET","Matcha","Diariamente","Absolutamente sí","Muy importante","Muy importante","Muy importante","Algo importante","Muy importante","5","5","Más de 1,5€","Hasta 0,5€","Supermercado","Consumiría varias veces a la semana","Muy importante","Muy importante","Poco importante","Muy importante","25-34 años","Femenino","Trabajo por cuenta ajena","Ciudad"
"2023/12/11 2:32:48 p. m. CET","Chai","Raramente","Probablemente sí","Muy importante","Algo importante","Poco importante","Muy importante","Importante","3","3","Más de 1,5€","Hasta 0,5€","Máquina de vending","Consumiría solo ocasionalmente","Algo importante","Muy importante","Algo importante","Importante","18-24 años","Masculino","Autónomo","Ciudad"
"2023/12/11 2:36:58 p. m. CET","Otro","Raramente","Indiferente","Algo importante","importante","Poco importante","Muy importante","Muy importante","2","1","De 1 a 1,5€","Hasta 0,5€","Máquina de vending","Consumiría solo ocasionalmente","Nada importante","Algo importante","Nada importante","Algo importante","Menos de 18 años","Masculino","Estudiante","Rural/Pueblo"
"2023/12/11 2:58:09 p. m. CET","Otro","1 o 2 veces a la semana","Probablemente no","Muy importante","importante","Muy importante","Algo importante","Muy importante","3","2","Más de 1,5€","Hasta 0,5€","Supermercado","No estoy interesado/a en consumir ""Iced Latte Tea""","Poco importante","Muy importante","Algo importante","Muy importante","18-24 años","Masculino","Estudiante","Ciudad"
"2023/12/11 3:28:03 p. m. CET","Matcha","1 o 2 veces a la semana","Indiferente","Muy importante","importante","Algo importante","Importante","Muy importante","2","4","Más de 1,5€","Hasta 0,5€","Supermercado","Consumiría solo ocasionalmente","Importante","Importante","Poco importante","Muy importante","25-34 años","Masculino","Trabajo por cuenta ajena","Ciudad"
"2023/12/11 4:21:30 p. m. CET","Matcha","1 o 2 veces a la semana","Probablemente sí","importante","Algo importante","Poco importante","Muy importante","Algo importante","2","1","Más de 1,5€","Hasta 0,5€","Otro","Consumiría varias veces a la semana","Algo importante","Muy importante","Algo importante","Poco importante","18-24 años","Masculino","Estudiante","Ciudad"
"2023/12/11 5:43:35 p. m. CET","Matcha","Diariamente","Probablemente sí","importante","importante","Algo importante","Algo importante","Importante","4","3","Más de 1,5€","De 0,5 hasta 1€","Cafetería","Consumiría varias veces a la semana","Algo importante","Algo importante","Algo importante","Importante","18-24 años","Femenino","Trabajo por cuenta ajena","Ciudad"
"2023/12/11 9:55:21 p. m. CET","Matcha","Raramente","Indiferente","importante","importante","Importante","Muy importante","Muy importante","4","3","Más de 1,5€","Hasta 0,5€","Supermercado","Consumiría solo ocasionalmente","Algo importante","Importante","Muy importante","Muy importante","25-34 años","Masculino","Estudiante","Ciudad"
"2023/12/12 7:46:17 a. m. CET","Matcha","Raramente","Indiferente","Muy importante","importante","Algo importante","Importante","Muy importante","3","5","Más de 1,5€","Hasta 0,5€","Cafetería","Consumiría solo ocasionalmente","Muy importante","Muy importante","Importante","Muy importante","25-34 años","Femenino","Autónomo","Extrarradio"
"2023/12/12 9:42:27 a. m. CET","Chai","1 o 2 veces a la semana","Probablemente sí","Algo importante","Muy importante","Poco importante","Importante","Muy importante","4","2","Más de 1,5€","De 0,5 hasta 1€","Cafetería","Consumiría solo ocasionalmente","Poco importante","Importante","Muy importante","Muy importante","25-34 años","Masculino","Trabajo por cuenta ajena","Ciudad"
"2023/12/12 12:31:24 p. m. CET","Otro","Raramente","Probablemente no","Algo importante","importante","Poco importante","Muy importante","Muy importante","3","1","Más de 1,5€","De 0,5 hasta 1€","Cafetería","Consumiría solo ocasionalmente","Nada importante","Importante","Importante","Importante","18-24 años","Masculino","Estudiante","Ciudad"
"2023/12/12 2:52:41 p. m. CET","No me gusta el té","","","","","","","","","","","","","","","","","","","","",""
"2023/12/13 3:59:07 p. m. CET","Matcha","1 o 2 veces a la semana","Probablemente sí","importante","Muy importante","Poco importante","Muy importante","Muy importante","4","2","Más de 1,5€","Hasta 0,5€","Supermercado","Consumiría varias veces a la semana","Nada importante","Muy importante","Importante","Muy importante","25-34 años","Masculino","Trabajo por cuenta ajena","Ciudad"